Identifier,Tag: Name,Service,Type,Region,Tags,Tag: tech:team_name
mvno-20210823080706380100000001/79898997d5188d3c,bosswireless-prod-mvno-inhouse-sims-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
custo20210729133052491000000001/37e8e272d8e79642,bosswireless-uat-customer-tier-switcher-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmob20210526073613809100000002/6fbeb01f6752fd99,bosswireless-prod-brmobile-api-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
admin20210820121448686400000002/dee46e208cb25cab,bosswireless-uat-admin-panel-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
mvno-20210512190954273800000001/49b713c4318734f8,bosswireless-uat-mvno-prc-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
bi-ga20220526100415464800000001/7bef1bc7df3b1f7f,bosswireless-prod-bi-gateway-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
admin20210823080704167800000001/9063bad43954c468,bosswireless-prod-admin-panel-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
promo20221125114624626800000002/9c2a2f01d1ea1217,bosswireless-prod-promo-handler-green,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
brmob20210507193213552900000002/c0e9ee698be5be03,bosswireless-uat-brmobile-api-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
custo20210803083001983300000001/6fa9b815b5a9d340,bosswireless-prod-customer-tier-switcher-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
custo20210729133052501900000002/6a18a3332f514b49,bosswireless-uat-customer-tier-switcher-blue,ElasticLoadBalancingV2,TargetGroup,us-east-1,13,team_boss_wireless
bosswireless-prod-up-00,bosswireless-prod-up-00,CloudWatch,Alarm,us-east-1,13,team_boss_wireless
